action,direction,entry_time,entry_price,quantity,capital,stop_price,atr,signal_type,close_time,close_price,pnl,close_reason
open,short,1750019400000,104650.8,0.0006365648168487824,13.323403467015712,105192.83571428573,180.67857142857247,死叉,,,,
close,short,1750019400000,104650.8,0.0006365648168487824,12.911573064058247,,,,1750025700000.0,105192.83571428573,-0.4118304029574647,止损
open,long,1750081500000,107109.0,0.000602730539173097,12.911573064058247,106482.27857142857,208.90714285714265,二次金叉,,,,
close,long,1750081500000,107109.0,0.000602730539173097,12.469459926256043,,,,1750118400000.0,106482.27857142857,-0.4421131378022051,止损
open,short,1750239000000,104629.9,0.0005958841557841517,12.469459926256043,105288.50714285714,219.53571428571325,死叉,,,,
close,short,1750239000000,104629.9,0.0005958841557841517,12.014462838529264,,,,1750256100000.0,105288.50714285714,-0.4549970877267797,止损
open,short,1750257900000,104576.1,0.0005744363596715341,12.014462838529264,105802.07142857145,408.65714285714574,二次死叉,,,,
close,short,1750257900000,104576.1,0.0005744363596715341,11.249795838564483,,,,1750406400000.0,105802.07142857145,-0.7646669999647814,止损
open,short,1750433400000,104526.7,0.000538130249905741,11.249795838564483,105775.2357142857,416.17857142857036,死叉,,,,
close,short,1750433400000,104526.7,0.000538130249905741,13.210179179460013,,,,1750599000000.0,100781.09285714287,1.960383340895531,固定止盈
open,short,1750697100000,100642.9,0.0006562896726674219,13.210179179460013,102580.74999999999,645.9499999999981,死叉,,,,
close,short,1750697100000,100642.9,0.0006562896726674219,11.871701445913066,,,,1750699800000.0,102580.74999999999,-1.338477733546947,止损
open,long,1750774500000,105330.0,0.0005635479657226368,11.871701445913066,104407.95000000001,307.34999999999854,二次金叉,,,,
close,long,1750774500000,105330.0,0.0005635479657226368,13.370421714964477,,,,1750906800000.0,108096.15,1.4987202690514114,固定止盈
open,long,1750968900000,107562.8,0.0006215169982077669,13.370421714964477,106933.05714285714,209.91428571428696,金叉,,,,
close,long,1750968900000,107562.8,0.0006215169982077669,12.91236941412055,,,,1750973400000.0,106933.05714285714,-0.45805230084392873,止损
open,long,1750998600000,107412.6,0.0006010640005977209,12.91236941412055,106983.87857142858,142.90714285714265,金叉,,,,
close,long,1750998600000,107412.6,0.0006010640005977209,12.590247394559333,,,,1751009400000.0,106983.87857142858,-0.32212201956121633,止损
open,long,1751061600000,107115.0,0.0005876976798095193,12.590247394559333,106577.20714285714,179.26428571428656,金叉,,,,
close,long,1751061600000,107115.0,0.0005876976798095193,13.475000911247966,,,,1751243400000.0,108728.37857142858,0.8847535166886332,固定止盈
open,long,1751432400000,106266.7,0.0006340180372237007,13.475000911247966,105797.99285714285,156.23571428571555,金叉,,,,
close,long,1751432400000,106266.7,0.0006340180372237007,14.298686501758654,,,,1751445000000.0,107672.82142857143,0.8236855905106886,固定止盈
open,long,1751520600000,109199.0,0.0006547077583933303,14.298686501758654,108615.90714285715,194.364285714283,二次金叉,,,,
close,long,1751520600000,109199.0,0.0006547077583933303,13.84562852952342,,,,1751616000000.0,108615.90714285715,-0.45305797223523475,止损
open,long,1751696100000,108167.2,0.0006400104897567572,13.84562852952342,107743.85714285714,141.11428571428405,金叉,,,,
close,long,1751696100000,108167.2,0.0006400104897567572,14.588825579076866,,,,1751859000000.0,109437.22857142855,0.7431970495534453,固定止盈
